Rank,Nombre,Símbolo,Cap. de Mercado,Precio
7.0,FTCFeathercoin,FTC,"2,408,398.36",0.1078
8.0,XPMPrimecoin,XPM,"2,255,477.92",0.7545
9.0,WDCWorldCoin,WDC,"1,003,540.14",0.03364
10.0,TRCTerracoin,TRC,"599,258.97",0.1404
11.0,CBXBullion,CBX,"472,541.19",0.5275
12.0,MNCMincoin,MNC,"457,336.73",0.3266
13.0,DVCDevcoin,DVC,"388,413.93",0.00006859
14.0,CLRCopperlark,CLR,"315,161.62",0.06859
15.0,MECMegacoin,MEC,"298,283.64",0.0145
16.0,IXCIxcoin,IXC,"274,793.49",0.01666
17.0,FRCFreicoin,FRC,"216,303.13",0.006839
18.0,DGCDigitalcoin,DGC,"169,845.80",0.01618
19.0,GLCGoldCoin,GLC,"135,759.47",0.004824
20.0,ANCAnoncoin,ANC,"120,244.92",0.2386
1.0,BTCBitcoin,BTC,"5,907,841,887.89",492.11
2.0,LTCLitecoin,LTC,"94,452,809.89",4.09
3.0,XRPXRP,XRP,"79,811,364.08",0.01021
4.0,PPCPeercoin,PPC,"15,956,728.66",0.7689
5.0,NMCNamecoin,NMC,"4,578,176.84",0.6255
6.0,NVCNovacoin,NVC,"2,355,870.65",4.87
7.0,XPMPrimecoin,XPM,"2,119,653.38",0.6889
8.0,WDCWorldCoin,WDC,"1,554,778.74",0.05015
9.0,FTCFeathercoin,FTC,"1,388,509.41",0.06004
10.0,CBXBullion,CBX,"1,031,000.99",1.14
11.0,DVCDevcoin,DVC,"477,500.44",0.00008366
12.0,MECMegacoin,MEC,"347,575.15",0.01673
13.0,IXCIxcoin,IXC,"294,130.62",0.01772
14.0,CLRCopperlark,CLR,"278,987.93",0.05905
15.0,DGCDigitalcoin,DGC,"261,038.27",0.02441
16.0,MNCMincoin,MNC,"259,347.21",0.1847
17.0,TRCTerracoin,TRC,"212,057.32",0.04927
18.0,FRCFreicoin,FRC,"190,930.60",0.005905
19.0,GLCGoldCoin,GLC,"163,176.78",0.005763
20.0,ANCAnoncoin,ANC,"136,914.44",0.2628
1.0,BTCBitcoin,BTC,"9,317,034,156.25",774.25
2.0,LTCLitecoin,LTC,"242,572,318.54",10.41
3.0,XRPXRP,XRP,"91,218,427.45",0.01167
4.0,PPCPeercoin,PPC,"45,055,424.12",2.17
5.0,NMCNamecoin,NMC,"20,001,994.64",2.71
6.0,PTSBitShares PTS,PTS,"7,490,654.02",7.92
7.0,FTCFeathercoin,FTC,"5,557,748.31",0.2323
8.0,XPMPrimecoin,XPM,"5,360,236.80",1.70
9.0,NVCNovacoin,NVC,"4,059,827.38",8.20
10.0,WDCWorldCoin,WDC,"2,987,078.31",0.0929
11.0,MECMegacoin,MEC,"2,859,161.65",0.1363
12.0,CBXBullion,CBX,"1,846,880.68",2.04
13.0,FRCFreicoin,FRC,"1,179,399.59",0.03562
14.0,IXCIxcoin,IXC,"1,035,452.98",0.06193
15.0,ANCAnoncoin,ANC,"958,863.75",1.78
16.0,DVCDevcoin,DVC,"846,444.75",0.0001471
17.0,DGCDigitalcoin,DGC,"681,230.63",0.0627
18.0,IFCInfinitecoin,IFC,"629,489.07",0.000007168
19.0,TRCTerracoin,TRC,"605,768.10",0.1394
20.0,BQCBBQCoin,BQC,"573,644.60",0.0209
1.0,BTCBitcoin,BTC,"11,531,708,652.96",955.85
2.0,LTCLitecoin,LTC,"817,326,372.71",34.74
3.0,XRPXRP,XRP,"402,593,977.40",0.0515
4.0,PPCPeercoin,PPC,"133,213,784.09",6.39
5.0,NMCNamecoin,NMC,"62,668,948.41",8.42
6.0,QRKQuark,QRK,"61,041,537.07",0.2485
7.0,MECMegacoin,MEC,"31,753,577.99",1.51
8.0,PTSBitShares PTS,PTS,"24,532,015.38",24.71
9.0,FTCFeathercoin,FTC,"24,154,271.26",0.975
10.0,XPMPrimecoin,XPM,"18,467,629.33",5.54
11.0,WDCWorldCoin,WDC,"16,223,784.23",0.4875
12.0,FRCFreicoin,FRC,"10,905,476.80",0.3221
13.0,NVCNovacoin,NVC,"10,848,054.00",21.54
14.0,BQCBBQCoin,BQC,"6,523,733.24",0.2342
15.0,ZETZetacoin,ZET,"5,959,034.15",0.03783
16.0,IFCInfinitecoin,IFC,"5,763,848.99",0.00006539
17.0,TRCTerracoin,TRC,"5,460,825.59",1.21
18.0,CBXBullion,CBX,"4,352,024.72",4.78
19.0,DVCDevcoin,DVC,"3,631,041.48",0.0006262
20.0,ANCAnoncoin,ANC,"3,503,695.91",6.31
1.0,BTCBitcoin,BTC,"9,627,500,053.68",795.87
2.0,LTCLitecoin,LTC,"648,135,180.44",27.27
3.0,XRPXRP,XRP,"285,005,350.24",0.03646
4.0,PPCPeercoin,PPC,"84,643,503.94",4.05
5.0,NMCNamecoin,NMC,"46,654,461.57",6.29
6.0,QRKQuark,QRK,"26,259,005.81",0.1067
7.0,WDCWorldCoin,WDC,"26,148,372.94",0.7601
8.0,MECMegacoin,MEC,"21,083,628.39",0.9948
9.0,XPMPrimecoin,XPM,"12,090,897.08",3.50
10.0,FTCFeathercoin,FTC,"11,388,199.45",0.4457
11.0,NVCNovacoin,NVC,"8,671,710.80",16.94
12.0,ZETZetacoin,ZET,"5,725,811.69",0.03621
13.0,FRCFreicoin,FRC,"4,514,680.76",0.1326
14.0,ANCAnoncoin,ANC,"4,147,469.68",7.24
15.0,NXTNxt,NXT,"3,979,349.97",0.003979
16.0,IFCInfinitecoin,IFC,"3,552,186.57",0.00004016
17.0,TRCTerracoin,TRC,"2,940,547.25",0.6447
18.0,CBXBullion,CBX,"2,915,897.78",3.18
19.0,SBCStableCoin,SBC,"2,486,227.64",0.2945
20.0,BQCBBQCoin,BQC,"2,272,191.51",0.08037
1.0,BTCBitcoin,BTC,"10,625,517,591.78",876.12
2.0,LTCLitecoin,LTC,"750,162,075.22",31.28
3.0,XRPXRP,XRP,"227,789,115.66",0.02914
4.0,PPCPeercoin,PPC,"91,649,291.87",4.38
5.0,QRKQuark,QRK,"45,754,312.27",0.1857
6.0,NMCNamecoin,NMC,"43,908,870.14",5.86
7.0,WDCWorldCoin,WDC,"22,368,317.29",0.6306
8.0,PTSBitShares PTS,PTS,"21,565,737.77",18.73
9.0,MECMegacoin,MEC,"18,619,300.28",0.8744
10.0,XPMPrimecoin,XPM,"14,201,579.12",3.96
11.0,FTCFeathercoin,FTC,"11,783,591.36",0.4468
12.0,ZETZetacoin,ZET,"10,140,250.85",0.06393
13.0,DVCDevcoin,DVC,"9,706,426.25",0.001647
14.0,NVCNovacoin,NVC,"9,066,531.49",17.43
15.0,NXTNxt,NXT,"7,429,497.78",0.007429
16.0,DGCDigitalcoin,DGC,"6,431,612.06",0.5606
17.0,IFCInfinitecoin,IFC,"5,478,057.12",0.0000617
18.0,FRCFreicoin,FRC,"5,110,690.82",0.1489
19.0,ANCAnoncoin,ANC,"3,497,227.45",5.93
20.0,CLRCopperlark,CLR,"3,344,091.57",0.6392
1.0,BTCBitcoin,BTC,"7,505,757,333.43",617.18
2.0,LTCLitecoin,LTC,"407,576,814.52",16.86
3.0,XRPXRP,XRP,"169,773,560.84",0.02172
4.0,PPCPeercoin,PPC,"64,141,315.83",3.06
5.0,NXTNxt,NXT,"33,240,148.04",0.03324
6.0,NMCNamecoin,NMC,"30,563,713.11",4.04
7.0,QRKQuark,QRK,"20,966,260.30",0.08499
8.0,PTSBitShares PTS,PTS,"15,276,674.70",12.91
9.0,WDCWorldCoin,WDC,"14,089,213.89",0.3853
10.0,MECMegacoin,MEC,"11,094,799.84",0.5186
11.0,XPMPrimecoin,XPM,"7,517,762.08",2.04
12.0,FTCFeathercoin,FTC,"7,045,544.63",0.2592
13.0,NVCNovacoin,NVC,"6,087,466.25",11.50
14.0,ZETZetacoin,ZET,"5,296,156.92",0.0333
15.0,DOGEDogecoin,DOGE,"3,706,589.80",0.0003148
16.0,IFCInfinitecoin,IFC,"3,154,708.70",0.0000354
17.0,DVCDevcoin,DVC,"3,152,653.92",0.0005308
18.0,FRCFreicoin,FRC,"2,787,772.87",0.0803
19.0,DGCDigitalcoin,DGC,"2,419,598.18",0.2076
20.0,CLRCopperlark,CLR,"2,281,039.22",0.4257
1.0,BTCBitcoin,BTC,"9,082,103,472.45",745.05
2.0,LTCLitecoin,LTC,"586,899,831.49",24.07
3.0,XRPXRP,XRP,"212,783,895.27",0.02722
4.0,OMNIOmni,OMNI,"111,753,184.65",180.40
5.0,PPCPeercoin,PPC,"89,891,412.39",4.28
6.0,NXTNxt,NXT,"56,123,014.95",0.05612
7.0,NMCNamecoin,NMC,"38,151,789.93",5.01
8.0,QRKQuark,QRK,"27,406,774.15",0.111
9.0,PTSBitShares PTS,PTS,"25,317,603.81",20.76
10.0,WDCWorldCoin,WDC,"19,546,847.28",0.519
11.0,MECMegacoin,MEC,"18,066,158.45",0.8404
12.0,XPMPrimecoin,XPM,"10,266,259.43",2.71
13.0,IFCInfinitecoin,IFC,"9,681,912.75",0.0001084
14.0,FTCFeathercoin,FTC,"9,589,252.79",0.3427
15.0,DOGEDogecoin,DOGE,"7,634,725.53",0.0004545
16.0,NVCNovacoin,NVC,"7,426,824.86",13.78
17.0,ZETZetacoin,ZET,"5,652,165.71",0.03549
18.0,DVCDevcoin,DVC,"3,791,059.92",0.0006333
19.0,ANCAnoncoin,ANC,"2,879,432.55",4.62
20.0,DGCDigitalcoin,DGC,"2,846,070.43",0.2405
1.0,BTCBitcoin,BTC,"11,379,661,042.38",933.53
2.0,LTCLitecoin,LTC,"659,900,583.81",26.83
3.0,XRPXRP,XRP,"197,241,280.51",0.02523
4.0,PPCPeercoin,PPC,"152,073,508.09",7.23
5.0,OMNIOmni,OMNI,"110,826,236.25",178.90
6.0,NXTNxt,NXT,"63,360,014.02",0.06336
7.0,NMCNamecoin,NMC,"60,232,061.64",7.84
8.0,PTSBitShares PTS,PTS,"24,630,584.87",19.31
9.0,QRKQuark,QRK,"21,670,928.49",0.08771
10.0,MECMegacoin,MEC,"18,931,093.85",0.8765
11.0,WDCWorldCoin,WDC,"18,084,856.44",0.4668
12.0,XPMPrimecoin,XPM,"17,268,335.02",4.44
13.0,FTCFeathercoin,FTC,"12,636,810.20",0.4388
14.0,NVCNovacoin,NVC,"9,501,307.08",17.33
15.0,IFCInfinitecoin,IFC,"7,681,401.79",0.00008586
16.0,DOGEDogecoin,DOGE,"5,883,637.71",0.0002707
17.0,NETNetCoin,NET,"5,099,252.13",0.02612
18.0,ZETZetacoin,ZET,"4,802,036.74",0.03012
19.0,DVCDevcoin,DVC,"4,336,895.67",0.0007188
20.0,DGCDigitalcoin,DGC,"3,974,764.45",0.3301
1.0,BTCBitcoin,BTC,"10,578,652,838.47",863.22
2.0,LTCLitecoin,LTC,"622,645,163.47",25.09
3.0,XRPXRP,XRP,"172,333,465.07",0.02204
4.0,PPCPeercoin,PPC,"129,685,517.19",6.16
5.0,OMNIOmni,OMNI,"78,912,437.94",127.39
6.0,NMCNamecoin,NMC,"50,554,149.56",6.53
7.0,NXTNxt,NXT,"40,385,669.07",0.04039
8.0,PTSBitShares PTS,PTS,"19,503,761.90",14.82
9.0,QRKQuark,QRK,"18,206,130.10",0.07364
10.0,MECMegacoin,MEC,"17,005,631.68",0.7836
11.0,WDCWorldCoin,WDC,"16,296,921.39",0.4093
12.0,XPMPrimecoin,XPM,"14,302,360.84",3.58
13.0,FTCFeathercoin,FTC,"10,222,182.43",0.3453
14.0,DOGEDogecoin,DOGE,"9,207,367.65",0.0003453
15.0,NVCNovacoin,NVC,"8,597,857.84",15.41
16.0,IFCInfinitecoin,IFC,"6,338,830.93",0.00007072
17.0,DGCDigitalcoin,DGC,"4,381,842.13",0.3573
18.0,ZETZetacoin,ZET,"4,272,265.64",0.02676
19.0,NETNetCoin,NET,"3,554,237.65",0.0177
20.0,ANCAnoncoin,ANC,"3,286,065.33",5.00
1.0,BTCBitcoin,BTC,"10,699,504,355.93",870.96
2.0,LTCLitecoin,LTC,"636,411,723.55",25.44
3.0,XRPXRP,XRP,"163,201,488.66",0.02088
4.0,PPCPeercoin,PPC,"125,854,704.53",5.97
5.0,OMNIOmni,OMNI,"87,810,174.68",141.75
6.0,NXTNxt,NXT,"52,563,201.66",0.05256
7.0,NMCNamecoin,NMC,"49,990,022.99",6.40
8.0,QRKQuark,QRK,"26,709,942.83",0.108
9.0,DOGEDogecoin,DOGE,"22,169,605.93",0.0006968
10.0,PTSBitShares PTS,PTS,"17,466,871.54",12.95
11.0,MECMegacoin,MEC,"15,193,602.23",0.6969
12.0,WDCWorldCoin,WDC,"14,244,140.91",0.3484
13.0,XPMPrimecoin,XPM,"13,569,457.37",3.32
14.0,FTCFeathercoin,FTC,"9,798,797.58",0.3223
15.0,NVCNovacoin,NVC,"8,511,812.79",15.02
16.0,IFCInfinitecoin,IFC,"6,039,925.15",0.00006726
17.0,DGCDigitalcoin,DGC,"3,938,648.66",0.316
18.0,ZETZetacoin,ZET,"3,855,447.88",0.02413
19.0,DVCDevcoin,DVC,"3,467,775.60",0.0005661
20.0,TIXTickets,TIX,"2,715,417.86",0.0000406
1.0,BTCBitcoin,BTC,"10,902,798,992.81",885.28
2.0,LTCLitecoin,LTC,"607,235,557.83",24.12
3.0,XRPXRP,XRP,"157,362,290.53",0.02013
4.0,PPCPeercoin,PPC,"127,305,292.23",6.04
5.0,NXTNxt,NXT,"78,028,427.23",0.07803
6.0,OMNIOmni,OMNI,"65,947,027.88",106.46
7.0,DOGEDogecoin,DOGE,"58,716,783.76",0.001594
8.0,NMCNamecoin,NMC,"48,429,670.92",6.15
9.0,QRKQuark,QRK,"22,120,786.27",0.08941
10.0,PTSBitShares PTS,PTS,"17,372,118.08",12.57
11.0,XPMPrimecoin,XPM,"14,433,325.65",3.45
12.0,WDCWorldCoin,WDC,"14,103,448.82",0.3364
13.0,MECMegacoin,MEC,"13,184,003.96",0.602
14.0,IFCInfinitecoin,IFC,"12,466,185.09",0.0001386
15.0,FTCFeathercoin,FTC,"10,211,303.33",0.3276
16.0,NVCNovacoin,NVC,"8,438,005.96",14.71
17.0,TIXTickets,TIX,"4,419,120.39",0.00006608
